10285,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Wyoming,346,59.8
59,All Causes,All causes,Alabama,48038,939.7
77,All Causes,All causes,Alaska,3728,771.5
94,All Causes,All causes,Arizona,46762,693.1
112,All Causes,All causes,Arkansas,28916,892.7
130,All Causes,All causes,California,234012,646.7
148,All Causes,All causes,Colorado,31465,682.7
166,All Causes,All causes,Connecticut,28692,652.9
184,All Causes,All causes,Delaware,7706,769.9
202,All Causes,All causes,District of Columbia,4672,792.4
220,All Causes,All causes,Florida,173791,701.1
238,All Causes,All causes,Georgia,71263,845.4
256,All Causes,All causes,Hawaii,9617,589.6
274,All Causes,All causes,Idaho,11429,731.6
292,All Causes,All causes,Illinois,99931,736.9
310,All Causes,All causes,Indiana,56743,820.6
328,All Causes,All causes,Iowa,27745,721.7
346,All Causes,All causes,Kansas,24502,762.2
364,All Causes,All causes,Kentucky,41983,915
382,All Causes,All causes,Louisiana,40667,903.8
400,All Causes,All causes,Maine,12750,749.6
418,All Causes,All causes,Maryland,43325,728.6
436,All Causes,All causes,Massachusetts,52583,675
454,All Causes,All causes,Michigan,88021,786.2
472,All Causes,All causes,Minnesota,38972,661.5
490,All Causes,All causes,Mississippi,28965,962
508,All Causes,All causes,Missouri,55281,819.5
526,All Causes,All causes,Montana,8827,754.7
544,All Causes,All causes,Nebraska,15171,717.8
562,All Causes,All causes,Nevada,19623,795.4
580,All Causes,All causes,New Hampshire,10201,690.4
598,All Causes,All causes,New Jersey,69495,691.1
616,All Causes,All causes,New Mexico,15931,749
634,All Causes,All causes,New York,146432,665.5
652,All Causes,All causes,North Carolina,78773,804.9
670,All Causes,All causes,North Dakota,5944,704.3
688,All Causes,All causes,Ohio,108711,815.7
706,All Causes,All causes,Oklahoma,36529,915.5
724,All Causes,All causes,Oregon,31890,723.1
742,All Causes,All causes,Pennsylvania,124596,765.9
760,All Causes,All causes,Rhode Island,9579,721.7
778,All Causes,All causes,South Carolina,41614,854.8
796,All Causes,All causes,South Dakota,7100,715.1
814,All Causes,All causes,Tennessee,59578,890.8
832,All Causes,All causes,Texas,166527,772.3
850,All Causes,All causes,United States,2468435,747
868,All Causes,All causes,Utah,14776,703.2
886,All Causes,All causes,Vermont,5380,718.7
904,All Causes,All causes,Virginia,59032,741.6
922,All Causes,All causes,Washington,48146,692.3
940,All Causes,All causes,West Virginia,21275,933.6
958,All Causes,All causes,Wisconsin,47308,719
976,All Causes,All causes,Wyoming,4438,778.8
994,Alzheimer's disease (G30),Alzheimer's disease,Alabama,1523,31.2
1012,Alzheimer's disease (G30),Alzheimer's disease,Alaska,85,25.9
1030,Alzheimer's disease (G30),Alzheimer's disease,Arizona,2327,35.3
1048,Alzheimer's disease (G30),Alzheimer's disease,Arkansas,955,29.6
1066,Alzheimer's disease (G30),Alzheimer's disease,California,10856,30.1
1084,Alzheimer's disease (G30),Alzheimer's disease,Colorado,1334,31.1
1102,Alzheimer's disease (G30),Alzheimer's disease,Connecticut,820,17.1
1120,Alzheimer's disease (G30),Alzheimer's disease,Delaware,215,21.9
1138,Alzheimer's disease (G30),Alzheimer's disease,District of Columbia,114,18.7
1156,Alzheimer's disease (G30),Alzheimer's disease,Florida,4831,18.1
1174,Alzheimer's disease (G30),Alzheimer's disease,Georgia,2080,28.3
1192,Alzheimer's disease (G30),Alzheimer's disease,Hawaii,189,10.5
1210,Alzheimer's disease (G30),Alzheimer's disease,Idaho,410,26.8
1228,Alzheimer's disease (G30),Alzheimer's disease,Illinois,2927,20.9
1246,Alzheimer's disease (G30),Alzheimer's disease,Indiana,1940,27.8
1264,Alzheimer's disease (G30),Alzheimer's disease,Iowa,1411,32.9
1282,Alzheimer's disease (G30),Alzheimer's disease,Kansas,825,24.2
1300,Alzheimer's disease (G30),Alzheimer's disease,Kentucky,1464,33.5
1318,Alzheimer's disease (G30),Alzheimer's disease,Louisiana,1295,30.8
1336,Alzheimer's disease (G30),Alzheimer's disease,Maine,502,28.6
1354,Alzheimer's disease (G30),Alzheimer's disease,Maryland,986,16.8
1372,Alzheimer's disease (G30),Alzheimer's disease,Massachusetts,1773,21.2
1390,Alzheimer's disease (G30),Alzheimer's disease,Michigan,2736,24
1408,Alzheimer's disease (G30),Alzheimer's disease,Minnesota,1451,23.4
1426,Alzheimer's disease (G30),Alzheimer's disease,Mississippi,927,32.6
1444,Alzheimer's disease (G30),Alzheimer's disease,Missouri,1986,28.8
1462,Alzheimer's disease (G30),Alzheimer's disease,Montana,302,25.2
1480,Alzheimer's disease (G30),Alzheimer's disease,Nebraska,565,24.9
1498,Alzheimer's disease (G30),Alzheimer's disease,Nevada,296,14.2
1516,Alzheimer's disease (G30),Alzheimer's disease,New Hampshire,396,26.9
1534,Alzheimer's disease (G30),Alzheimer's disease,New Jersey,1878,17.7
1552,Alzheimer's disease (G30),Alzheimer's disease,New Mexico,343,16.8
1570,Alzheimer's disease (G30),Alzheimer's disease,New York,2616,11.3
1588,Alzheimer's disease (G30),Alzheimer's disease,North Carolina,2817,30.3
1606,Alzheimer's disease (G30),Alzheimer's disease,North Dakota,361,37.2
1624,Alzheimer's disease (G30),Alzheimer's disease,Ohio,4109,29.7
1642,Alzheimer's disease (G30),Alzheimer's disease,Oklahoma,1015,26.1
1660,Alzheimer's disease (G30),Alzheimer's disease,Oregon,1300,28.5
1678,Alzheimer's disease (G30),Alzheimer's disease,Pennsylvania,3591,20
1696,Alzheimer's disease (G30),Alzheimer's disease,Rhode Island,338,22.6
1714,Alzheimer's disease (G30),Alzheimer's disease,South Carolina,1570,34.7
1732,Alzheimer's disease (G30),Alzheimer's disease,South Dakota,398,35.9
1750,Alzheimer's disease (G30),Alzheimer's disease,Tennessee,2440,38.5
1768,Alzheimer's disease (G30),Alzheimer's disease,Texas,5209,26.8
1786,Alzheimer's disease (G30),Alzheimer's disease,United States,83494,25.1
1804,Alzheimer's disease (G30),Alzheimer's disease,Utah,375,19.3
1822,Alzheimer's disease (G30),Alzheimer's disease,Vermont,238,30.8
1840,Alzheimer's disease (G30),Alzheimer's disease,Virginia,1848,24.5
1858,Alzheimer's disease (G30),Alzheimer's disease,Washington,3025,43.6
1876,Alzheimer's disease (G30),Alzheimer's disease,West Virginia,594,26
1894,Alzheimer's disease (G30),Alzheimer's disease,Wisconsin,1762,25.3
1912,Alzheimer's disease (G30),Alzheimer's disease,Wyoming,146,27.2
